"id","note_id","type","text","sentiment_score","sentiment_category","create_time","ip_location"
"68069809000000000400b848","68064a0a000000001c02cc6b","comment","我们自赤血中走来，面对不公坚定的走去，我们自烈焰中来，焚尽所有不正之事，我们即光明，我们即伟大，我即荣耀。晨曦予我们权杖，烈日为我们冠冕，落日赋我们荣光，暗夜赠我们殿堂。",0.9992941617965698,"positive",1745262601,""
"6807aa3e000000001f0088d3","68064a0a000000001c02cc6b","comment","董明珠那张也太帅了[哭惹R][哭惹R]",0.8991391062736511,"positive",1745332798,""
"680f6aa9000000001f00cb1c","68064a0a000000001c02cc6b","comment","这张也是[害羞R]",0.2972412705421448,"negative",1745840810,""
"68089255000000001f02a1e4","68064a0a000000001c02cc6b","comment","我学！我学还不行吗！",0.825868546962738,"positive",1745392213,""
"68121526000000001f01911d","68064a0a000000001c02cc6b","comment","像这个赛道，我们莎莎也是要来的[doge][爆炸R]",0.37165161967277527,"negative",1746015527,""
"6825e1e6000000000903bda4","68064a0a000000001c02cc6b","comment","还有这张！",0.34289616346359253,"negative",1747313128,"新疆"
"6815a2f8000000001f00048c","68064a0a000000001c02cc6b","comment","第二张那个粉色西装的女士也太帅了[赞R]",0.980854868888855,"positive",1746248441,"河北"
"681f248c000000000401f048","68064a0a000000001c02cc6b","comment","想要第一张第二张[偷笑R][飞吻R][害羞R]",0.5318793654441833,"neutral",1746871436,"四川"
"682dca660000000009038bd3","68064a0a000000001c02cc6b","comment","1",0.32689833641052246,"negative",1747831398,"河南"
"682a703b0000000009038dc1","68064a0a000000001c02cc6b","comment","加油[害羞R][害羞R][害羞R]",0.8349503874778748,"positive",1747611707,"广东"
"6829d227000000000b02fd2d","68064a0a000000001c02cc6b","comment","致敬",0.875,"positive",1747571239,"重庆"
"6829b749000000001c01c671","68064a0a000000001c02cc6b","comment","太帅了！",0.5,"neutral",1747564362,"湖南"
"682994b0000000000900c153","68064a0a000000001c02cc6b","comment","@开心","","unknown",1747555504,"江苏"
"6630d395000000000303537c","6630b80a000000001e01b7f7","comment","先不说有些女生生理期确实难受，生理期期间本身就不建议运动，有些老师完全不考虑这些[微笑R]",0.9595577716827393,"positive",1714475925,""
